,Pred East,Pred North,Pred South,Pred West
True East,0.672,0.14,0.128,0.06
True North,0.13580246913580246,0.6419753086419753,0.102880658436214,0.11934156378600823
True South,0.1,0.056,0.704,0.14
True West,0.04980842911877394,0.09578544061302682,0.1111111111111111,0.7432950191570882
