feature,importance
Clostridium_neonatale,0.012387147550237164
Marinobacter_excellens,0.012352570722900382
Acidaminococcus_fermentans,0.011970344068995284
Bulleidia_p-1630-c5,0.011809937280071393
Granulicatella_adiacens,0.011546981558345402
Blautia_luti,0.01144804565991741
Corynebacterium_tuberculostearicum,0.01139890896751832
Bacteroides_sp.,0.011326454398964063
Ruminococcus_faecis,0.011093333296474824
Actinobacillus_parahaemolyticus,0.010992520829520059
Alistipes_shahii,0.010744057105173649
Akkermansia_muciniphila,0.010685200609139094
Alistipes_sp.,0.010630917349797557
Shigella_sp.,0.01054872036629457
Klebsiella_oxytoca,0.010502255582154516
Pseudomonas_stutzeri,0.010497476457001033
Clostridium_tertium,0.010344667217351807
Succinatimonas_hippei,0.010276078308562621
Enterobacter_sp.,0.010126537751189052
Dorea_formicigenerans,0.00987384584572366
Roseburia_hominis,0.009438631661722806
Clostridium_glycyrrhizinilyticum,0.009341084234247116
Alistipes_indistinctus,0.009262647965427926
Ruminococcus_gauvreauii,0.009195087391244913
Pseudoflavonifractor_capillosus,0.009128170488014845
Clostridium_chartatabidum,0.0090620905463176
Dorea_Dorea,0.009037476396725863
Solobacterium_moorei,0.00896953574017715
Acinetobacter_lwoffii,0.008894858846107849
Veillonella_parvula,0.008522464429663743
Cronobacter_malonaticus,0.008293048204182257
Streptococcus_thermophilus,0.008193851793684136
Enterobacter_aerogenes,0.007937463560731644
Clostridium_bifermentans,0.007783824926001634
Victivallis_vadensis,0.007770746520537417
Holdemania_filiformis,0.007638590615590531
Erwinia_rhapontici,0.007192253336453437
Enterobacter_helveticus,0.007184953312828565
Anaerostipes_butyraticus,0.007057648177092802
Finegoldia_magna,0.006846375464754256
Bacteroides_finegoldii,0.006737683804046061
Clostridium_leptum,0.006700102991822868
Salmonella_enterica,0.006632143397408403
Coprobacillus_cateniformis,0.006072409455999844
Ruminococcus_flavefaciens,0.005952806955050705
Subdoligranulum_sp.,0.004842866797092431
Neisseria_oralis,0.004737345993004136
Megamonas_funiformis,0.004613110270723779
Ralstonia_pickettii,0.004475180891472466
Fusobacterium_periodonticum,0.004414859824535055
Selenomonas_noxia,0.004406507163739274
Phascolarctobacterium_sp.,0.004382007621704539
Clostridium_paraputrificum,0.004167368936675106
Acidithiobacillus_ferrooxidans,0.004118755841701771
Rothia_mucilaginosa,0.0038846119869823123
Sporobacterium_sp.,0.0037829891706698242
Pseudoduganella_violaceinigra,0.0037467505046990283
Bacteroides_faecichinchillae,0.003662789349896958
Synergistes_sp.,0.0036088578252748975
Jonquetella_anthropi,0.003590161355127093
Fusobacterium_sp.,0.0035003073590671252
Haemophilus_influenzae,0.0034954522464960176
Alcaligenes_faecalis,0.003275284382431411
Shigella_dysenteriae,0.003264307648018834
Erwinia_sp.,0.003240805409514944
Veillonella_atypica,0.0032135373622333902
Blautia_stercoris,0.0032108303493046174
Enterobacter_mori,0.003186922396933379
Veillonella_dispar,0.003174094560511852
Megasphaera_hominis,0.003148677588157518
Sulfurimonas_gotlandica,0.0029405708858043673
Trabulsiella_odontotermitis,0.0028866438632524213
Alistipes_senegalensis,0.0028244455110954234
Aggregatibacter_aphrophilus,0.0027964602298044877
Ruminococcus_lactaris,0.0027778701240573156
Anaerococcus_vaginalis,0.0027777537148071154
Clostridium_hiranonis,0.002777227048990984
Limnohabitans_australis,0.002553407733252838
Streptococcus_mutans,0.0023910481967394817
Aerococcus_urinaeequi,0.0022982465911988922
Streptococcus_hongkongensis,0.0022842930350064927
Plesiomonas_shigelloides,0.0022778010368312744
Selenomonas_sp.,0.0022570293648816213
Pasteurella_pneumotropica,0.002231508772367332
Streptococcus_sinensis,0.002227309456406677
Oribacterium_sinus,0.0021223076139154267
Cetobacterium_somerae,0.0020482898988370603
Murdochiella_asaccharolytica,0.0020212748484011774
Geobacillus_lituanicus,0.001971199943394827
Bacteroides_eggerthii,0.001946890676042398
Prevotella_histicola,0.0019127589967879262
Photobacterium_damselae,0.001904955126759164
Serratia_odorifera,0.0017688981993890696
Robinsoniella_peoriensis,0.0017367169624879825
Stomatobaculum_longum,0.0016063905487628414
Clostridium_bolteae,0.0015543909054049638
Paraprevotella_clara,0.0015242139080079604
Anaerostipes_sp.,0.001447105799332423
Actinomyces_lingnae,0.001326721873319851
Parabacteroides_gordonii,0.0013240376063779434
Clostridium_innocuum,0.0012654788076918555
Petrobacter_succinatimandens,0.0011863792256867538
Enterobacter_kobei,0.0010846014153873989
Streptococcus_peroris,0.0010711180830065942
Geobacter_lovleyi,0.0010700193880319817
Eubacterium_coprostanoligenes,0.001063830322240575
Helicobacter_cinaedi,0.0010543481033174133
Streptococcus_lactarius,0.0010393241737188116
Eggerthella_lenta,0.0010374628117494834
Clostridium_septicum,0.000960410874283616
Succinivibrio_dextrinosolvens,0.0009367174554022729
Lactobacillus_iners,0.0008992764599109542
Nocardioides_hwasunensis,0.0008950621076125769
Veillonella_rogosae,0.0008519163622016575
Lactobacillus_secaliphilus,0.0008478039529635208
Campylobacter_upsaliensis,0.000816125015910686
Agromyces_italicus,0.0007966540370580741
Olsenella_sp.,0.0007727797546027642
Parabacteroides_johnsonii,0.0007565523755661402
Prosthecobacter_vanneervenii,0.0007319123095268969
Lactobacillus_helveticus,0.0007104896011154034
Eubacterium_tarantellae,0.000678625305814757
Parabacteroides_goldsteinii,0.0006141656645742659
Clostridium_ramosum,0.0005875312449529559
Acinetobacter_baumannii,0.0005769355326984941
Anaerococcus_murdochii,0.0002937385255426659
Actinomyces_naeslundii,9.7855231589319e-06
Parvimonas_micra,0.0
Pelomonas_puraquae,0.0
Meiothermus_silvanus,0.0
Pelomonas_aquatica,0.0
Mesorhizobium_sp.,0.0
Pelagicola_sp.,0.0
Novosphingobium_sediminicola,0.0
Methanobacterium_beijingense,0.0
Pediococcus_pentosaceus,0.0
Methanobrevibacter_smithii,0.0
Pectobacterium_carotovorum,0.0
Novosphingobium_nitrogenifigens,0.0
