Fold,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
1,1.0,0.7313432835820896,0.7288266283524905,0.728930817610063,0.7282151012104929
2,1.0,0.7213930348258707,0.7266365909982933,0.7194976452119309,0.7175120917723827
3,1.0,0.6368159203980099,0.6361111111111111,0.6362166405023548,0.6355289166588416
4,1.0,0.681592039800995,0.6839630173761118,0.681342229199372,0.6797505346377527
5,1.0,0.63,0.6297534426782639,0.6314903846153846,0.6296674792305861
