Metric,Mean,Std,Min,Max
Accuracy,0.680228855721393,0.04175321196789417,0.63,0.7313432835820896
Precision,0.681058158103254,0.04247368446619156,0.6297534426782639,0.7288266283524905
Recall,0.679495543427821,0.04055855875150827,0.6314903846153846,0.728930817610063
F1-Score,0.6781348247020113,0.040559982132449976,0.6296674792305861,0.7282151012104929
