Phylum,Features_Connected,Avg_Importance
Spirochaetes,1,0.4557364751638293
Proteobacteria,12,0.1853755495765817
Firmicutes,20,0.17961576136360788
Bacteroidetes,9,0.17545049974620347
Synergistetes,1,0.13887221794164645
Actinobacteria,2,0.13181657688239937
